Profile,Controller,t_esc_s,W_mech_J,theta_os_rad,Sat_time_ms
Light,PID,3.61499999999995,1.7280487932676,0.0941731910469212,0
Light,MPC/MPPI,3.35499999999995,1.78612762995285,0.0273666825041234,0
Light,POMDP,3.70999999999994,1.64403962313204,0.00422077364019258,0
Nominal,PID,3.36499999999995,2.35501261646905,0.143350104928563,0
Nominal,MPC/MPPI,3.34499999999995,2.3190302337901,0.0267768314413622,0
Nominal,POMDP,3.71999999999994,1.93741714649355,0.00567963439492158,0
Severe,PID,3.42999999999995,3.24454768136883,0.208598242779663,0
Severe,MPC/MPPI,3.25999999999995,3.28530961209062,0.0444541572648939,0
Severe,POMDP,3.75499999999994,2.2527756604101,0.0110562246754163,0
